name,city,price,model,kilometer,fuel_type,engine,transmission,brand
Honda Civic 1.5 RS Turbo,abbottabad,6700000.0,2021,88000,petrol,1500,automatic,honda
Honda Civic Oriel 1.8 i-VTEC CVT,peshawar,6150000.0,2019,68425,petrol,1800,automatic,honda
Toyota Hilux D-4D Automatic,peshawar,6550000.0,2012,132000,diesel,3000,automatic,toyota
Toyota Prius Alpha S Touring Selection GR Sport,peshawar,9850000.0,2018,35000,hybrid,1800,automatic,toyota
Toyota Corolla Fielder Hybrid G WB,peshawar,6200000.0,2017,165044,hybrid,1500,automatic,toyota
Suzuki Alto VS,peshawar,1830000.0,2006,96846,petrol,660,automatic,suzuki
Daihatsu Mira L,peshawar,3470000.0000000005,2022,29573,petrol,660,automatic,daihatsu
Suzuki Cultus VXL,peshawar,2950000.0,2020,169661,petrol,1000,manual,suzuki
Toyota Yaris Sedan ATIV X CVT 1.5,peshawar,4750000.0,2021,67156,petrol,1500,automatic,toyota
Toyota Corolla Altis Automatic 1.6,peshawar,3800000.0,2015,92682,petrol,1600,automatic,toyota
Suzuki Hustler Hybrid G,peshawar,3750000.0,2023,14904,hybrid,660,automatic,suzuki
Mazda Flair Hybrid XS,peshawar,3250000.0,2017,110642,hybrid,660,automatic,mazda
Toyota Corolla Axio X 1.5,peshawar,3500000.0,2007,173946,petrol,1500,automatic,toyota
Toyota Hilux Revo V Automatic 2.8,dera ismail khan,135000.0,2023,35000,diesel,2800,automatic,toyota
Daihatsu Cuore CX Automatic,peshawar,1040000.0,2007,1000,petrol,800,automatic,daihatsu
Honda Civic 6th Generation EXi,peshawar,1130000.0,1996,200000,petrol,1500,manual,honda
Suzuki Wagon R Hybrid FX,peshawar,4050000.0,2022,93000,hybrid,660,automatic,suzuki
Toyota Corolla GLi Automatic 1.3 VVTi,mardan,4179999.9999999995,2016,170000,petrol,1300,automatic,toyota
Suzuki Alto VXL AGS,abbottabad,2900000.0,2023,66000,petrol,660,automatic,suzuki
Toyota Passo,abbottabad,2650000.0,2012,263000,petrol,1000,automatic,toyota
Suzuki Swift RS 1.0,peshawar,4800000.0,2018,68000,petrol,1000,automatic,suzuki
Honda Civic Oriel 1.8 i-VTEC CVT,peshawar,5400000.0,2018,78000,petrol,1800,automatic,honda
Nissan Dayz X,peshawar,2650000.0,2023,85000,petrol,660,automatic,nissan
Honda Civic VTi Oriel Automatic 1.6,peshawar,1360000.0,2000,250000,petrol,1600,automatic,honda
Toyota Yaris Sedan GLI CVT 1.3,mardan,5200000.0,2025,2000,petrol,1300,automatic,toyota
Suzuki Alto VXR (CNG),mardan,1180000.0,2010,130000,cng,1000,manual,suzuki
Honda Fit 1.5 Hybrid Smart Selection,swabi,3450000.0,2014,1000,hybrid,1500,automatic,honda
Honda Civic EXi Prosmatec,abbottabad,1550000.0,2002,122000,petrol,1500,automatic,honda
Toyota Corolla Axio G,peshawar,3700000.0,2007,125803,petrol,1500,automatic,toyota
Honda Civic Rebirth VTi 1.8 i-VTEC,dera ismail khan,3625000.0,2016,72000,petrol,1800,manual,honda
Toyota Corolla Altis CVT-i 1.8,peshawar,4900000.0,2016,107000,petrol,1800,automatic,toyota
Toyota Corolla GLi 1.3 VVTi,mansehra,2800000.0,2011,120000,petrol,1300,manual,toyota
Toyota Corolla 9th (E120) Generation SE Saloon Automatic,mardan,2075000.0,2004,270,cng,1600,automatic,toyota
Suzuki Bolan,peshawar,819999.9999999999,2006,100000,cng,800,manual,suzuki
Honda Civic Rebirth VTi Oriel Prosmatec 1.8 i-VTEC,peshawar,2890000.0,2014,112255,petrol,1800,automatic,honda
Changan Oshan X7 FutureSense,dera ismail khan,7800000.0,2022,44500,petrol,1500,automatic,changan
Suzuki Swift DLX 1.3,peshawar,2750000.0,2017,117528,petrol,1300,automatic,suzuki
Honda City 5th (GM2) Generation Aspire Prosmatec 1.5 i-VTEC,peshawar,4100000.0,2019,90592,petrol,1500,automatic,honda
Toyota Yaris Hatchback G 1.0,peshawar,4800000.0,2022,44967,petrol,996,automatic,toyota
Nissan Roox S Hybrid,peshawar,3400000.0,2021,48870,hybrid,660,automatic,nissan
FAW X-PV Dual AC,peshawar,1500000.0,2017,123074,petrol,1000,manual,faw
Honda Civic Reborn VTi Oriel Prosmatec 1.8 i-VTEC,peshawar,3500000.0,2011,100405,petrol,1800,automatic,honda
Honda Vezel Hybrid X L Package,peshawar,4400000.0,2015,89322,hybrid,1500,automatic,honda
Honda City 1.2L CVT,peshawar,4450000.0,2022,55000,petrol,1200,automatic,honda
Toyota Vitz F 1.0,peshawar,2700000.0,2012,171753,petrol,1000,automatic,toyota
Toyota Corolla Altis Automatic 1.6,peshawar,4600000.0,2016,122595,petrol,1600,automatic,toyota
Toyota Aqua S,peshawar,4200000.0,2014,175000,hybrid,1500,automatic,toyota
Toyota Corolla XLi VVTi,peshawar,3700000.0,2016,163000,petrol,1300,manual,toyota
Suzuki Alto ECO-L,mardan,2400000.0,2014,129000,petrol,660,automatic,suzuki
Toyota Corolla GLi Limited Edition 1.3 VVTi,mardan,3350000.0,2012,97000,petrol,1300,manual,toyota
Honda Civic EXi Automatic,peshawar,1550000.0,2001,12000,petrol,1500,automatic,honda
Toyota Vitz,mardan,2950000.0,2013,7100,petrol,1000,automatic,toyota
Toyota Corolla,peshawar,2100000.0,2006,150000,petrol,1500,automatic,toyota
Toyota Hilux Revo GR-S,peshawar,176000.0,2025,1450,diesel,2800,automatic,toyota
Suzuki Mehran VX Euro II,abbottabad,1580000.0,2018,26000,petrol,796,manual,suzuki
Suzuki Mehran VX,abbottabad,750000.0,2004,59838,petrol,800,manual,suzuki
Suzuki Mehran VX,malakand agency,869999.9999999999,2008,32000,cng,800,manual,suzuki
Toyota Vitz F 1.0,akora khattak,4000000.0,2017,120000,petrol,1000,automatic,toyota
Honda Civic Oriel 1.8 i-VTEC CVT,peshawar,6000000.0,2020,80000,petrol,1800,automatic,honda
Toyota Corolla GLi Limited Edition 1.3 VVTi,swabi,3000000.0,2012,199999,petrol,1300,manual,toyota
Toyota Premio G 2.0,peshawar,2900000.0,2006,300000,petrol,2000,automatic,toyota
Suzuki Alto VXL AGS,risalpur,2650000.0,2021,72000,petrol,660,automatic,suzuki
Toyota Premio X 1.8,peshawar,3350000.0,2007,1232,petrol,1800,automatic,toyota
Honda Life,peshawar,2150000.0,2012,150000,petrol,660,automatic,honda
Suzuki Cultus VXRi (CNG),peshawar,1250000.0,2007,45000,petrol,1000,manual,suzuki
Honda Civic Oriel 1.8 i-VTEC CVT,swatmingora,5350000.0,2017,76000,petrol,1800,automatic,honda
Mazda 323,nowshera,445000.0,1986,100000,cng,1300,manual,mazda
Toyota Tank G Turbo,topi,4800000.0,2018,46000,petrol,1000,automatic,toyota
Toyota Hilux Revo V Automatic 2.8,peshawar,115999.99999999999,2021,90000,diesel,2800,automatic,toyota
Toyota Raize XS,peshawar,5150000.0,2020,94000,petrol,1000,automatic,toyota
KIA Sorento 3.5 FWD,peshawar,7500000.0,2021,80000,petrol,3500,automatic,kia
Suzuki Wagon R FA,peshawar,3650000.0,2022,100000,petrol,660,automatic,suzuki
Toyota Passo G 1.3,peshawar,2500000.0,2007,90000,petrol,1300,automatic,toyota
Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior,abbottabad,6650000.0,2022,148,petrol,1800,automatic,toyota
Suzuki Wagon R FX,peshawar,2350000.0,2014,173399,petrol,660,automatic,suzuki
Daihatsu Taft G Turbo,peshawar,4280000.0,2022,54000,petrol,660,automatic,daihatsu
KIA Sportage L HEV,peshawar,112000.00000000001,2025,11500,hybrid,1600,automatic,kia
Nissan Dayz J,peshawar,3080000.0,2018,132108,petrol,660,automatic,nissan
Daihatsu Taft G Turbo,peshawar,4700000.0,2021,61509,petrol,660,automatic,daihatsu
Toyota Fortuner 2.7 G,abbottabad,146000.0,2025,111111,petrol,2700,automatic,toyota
